"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Avg Time","Max Time","Activity Calories","Total Elev Gain","Avg Elevation Gain","Max Elevation Gain","Elevation Loss","Avg Elevation Loss","Max Elevation Loss","Average Speed","Max Speed","Average Pace","Best Pace","Average Heart Rate","Max Heart Rate","Average Run Cadence","Max Run Cadence","Average Bike Cadence","Max Bike Cadence","Average Power","Max Power","Vertical Oscillation","Ground Contact Time","Average Stride Length"
"03/26/2018","4","31.91 mi","7.98 mi","12.77 mi","3:58:57 h:m:s","59:44 h:m:s","1:34:17 h:m:s","2,786 C","430 ft","108 ft","200 ft","329 ft","82 ft","187 ft","8.2 mph","124.5 mph","7:22 min/mi","0:29 min/mi","--","--","78 spm","123 spm","--","--","--","--","--","--","1.37 m"
"03/19/2018","4","28.50 mi","7.13 mi","10.69 mi","4:01:26 h:m:s","1:00:21 h:m:s","1:17:44 h:m:s","2,565 C","981 ft","245 ft","607 ft","925 ft","231 ft","547 ft","6.9 mph","18.6 mph","8:42 min/mi","3:14 min/mi","--","--","73 spm","122 spm","--","--","--","--","--","--","1.24 m"
"03/12/2018","4","31.35 mi","7.84 mi","10.23 mi","4:15:24 h:m:s","1:03:51 h:m:s","1:21:29 h:m:s","2,837 C","2,002 ft","500 ft","1,191 ft","2,130 ft","532 ft","1,380 ft","7.4 mph","18.6 mph","8:05 min/mi","3:14 min/mi","--","--","76 spm","123 spm","--","--","--","--","--","--","1.29 m"
"03/05/2018","5","34.11 mi","6.82 mi","9.05 mi","4:43:39 h:m:s","56:44 h:m:s","1:12:54 h:m:s","3,095 C","1,367 ft","273 ft","662 ft","2,585 ft","517 ft","1,253 ft","7.4 mph","17.6 mph","8:09 min/mi","3:24 min/mi","--","--","77 spm","123 spm","--","--","--","--","--","--","1.28 m"
"02/26/2018","5","24.32 mi","4.86 mi","6.65 mi","2:59:20 h:m:s","35:52 h:m:s","47:50 h:m:s","2,254 C","479 ft","96 ft","155 ft","670 ft","134 ft","238 ft","8.0 mph","17.5 mph","7:28 min/mi","3:25 min/mi","--","--","80 spm","109 spm","--","--","--","--","--","--","1.34 m"
"02/19/2018","4","34.48 mi","8.62 mi","10.75 mi","4:37:15 h:m:s","1:09:19 h:m:s","1:21:22 h:m:s","3,172 C","1,597 ft","399 ft","1,267 ft","1,773 ft","443 ft","1,443 ft","7.4 mph","17.0 mph","8:05 min/mi","3:32 min/mi","--","--","80 spm","121 spm","--","--","--","--","--","--","1.23 m"
"02/12/2018","6","27.39 mi","4.57 mi","8.55 mi","3:24:14 h:m:s","34:02 h:m:s","1:12:35 h:m:s","2,491 C","348 ft","87 ft","197 ft","368 ft","123 ft","198 ft","8.2 mph","19.9 mph","7:21 min/mi","3:01 min/mi","--","--","83 spm","117 spm","--","--","--","--","--","--","1.30 m"
"02/05/2018","5","32.62 mi","6.52 mi","11.06 mi","4:05:46 h:m:s","49:09 h:m:s","1:22:26 h:m:s","3,013 C","1,635 ft","327 ft","995 ft","2,443 ft","489 ft","1,158 ft","8.0 mph","41.4 mph","7:28 min/mi","1:27 min/mi","--","--","81 spm","121 spm","--","--","--","--","--","--","1.32 m"
"01/29/2018","7","37.55 mi","5.36 mi","11.02 mi","4:55:36 h:m:s","42:14 h:m:s","1:18:36 h:m:s","3,397 C","2,009 ft","335 ft","887 ft","3,395 ft","566 ft","1,130 ft","7.2 mph","21.5 mph","8:19 min/mi","2:48 min/mi","--","--","75 spm","121 spm","--","--","--","--","--","--","1.26 m"
"01/22/2018","5","33.83 mi","6.77 mi","10.28 mi","4:07:06 h:m:s","49:25 h:m:s","1:14:57 h:m:s","3,145 C","656 ft","131 ft","190 ft","585 ft","117 ft","183 ft","8.2 mph","18.0 mph","7:16 min/mi","3:20 min/mi","--","--","80 spm","121 spm","--","--","--","--","--","--","1.38 m"
"01/15/2018","4","17.44 mi","4.36 mi","6.43 mi","2:14:15 h:m:s","33:34 h:m:s","48:08 h:m:s","1,607 C","392 ft","98 ft","232 ft","384 ft","128 ft","231 ft","7.7 mph","15.3 mph","7:46 min/mi","3:55 min/mi","--","--","76 spm","111 spm","--","--","--","--","--","--","1.35 m"
"12/25/2017","1","1.22 mi","1.22 mi","1.22 mi","8:19.3 h:m:s","8:19.3 h:m:s","8:19.3 h:m:s","114 C","--","--","--","--","--","--","8.8 mph","9.9 mph","6:50 min/mi","6:05 min/mi","--","--","82 spm","87 spm","--","--","--","--","--","--","1.42 m"
"12/18/2017","3","5.69 mi","1.90 mi","2.47 mi","46:58 h:m:s","15:39 h:m:s","21:42 h:m:s","535 C","123 ft","61 ft","123 ft","86 ft","43 ft","86 ft","7.5 mph","11.2 mph","8:03 min/mi","5:20 min/mi","--","--","76 spm","90 spm","--","--","--","--","--","--","1.31 m"
"12/11/2017","1","3.09 mi","3.09 mi","3.09 mi","1:18:26 h:m:s","1:18:26 h:m:s","1:18:26 h:m:s","348 C","96 ft","96 ft","96 ft","121 ft","121 ft","121 ft","2.4 mph","6.3 mph","25:21 min/mi","9:35 min/mi","112 bpm","158 bpm","37 spm","91 spm","--","--","--","--","--","--","0.83 m"
"12/04/2017","5","9.78 mi","1.96 mi","3.63 mi","2:21:02 h:m:s","28:12 h:m:s","1:33:53 h:m:s","841 C","178 ft","89 ft","146 ft","170 ft","85 ft","153 ft","6.3 mph","57.7 mph","9:32 min/mi","1:02 min/mi","--","--","59 spm","88 spm","--","--","--","--","--","--","1.38 m"
"11/27/2017","1","2.60 mi","2.60 mi","2.60 mi","30:28 h:m:s","30:28 h:m:s","30:28 h:m:s","255 C","85 ft","85 ft","85 ft","108 ft","108 ft","108 ft","5.1 mph","10.5 mph","11:44 min/mi","5:44 min/mi","137 bpm","157 bpm","71 spm","83 spm","--","--","--","--","--","--","0.96 m"
"11/20/2017","3","2.98 mi","0.99 mi","1.32 mi","1:02:23 h:m:s","20:48 h:m:s","38:49 h:m:s","233 C","140 ft","70 ft","97 ft","85 ft","42 ft","68 ft","4.7 mph","18.2 mph","12:53 min/mi","3:17 min/mi","--","--","51 spm","123 spm","--","--","--","--","--","--","1.11 m"
"11/13/2017","4","6.74 mi","1.68 mi","2.61 mi","1:18:33 h:m:s","19:38 h:m:s","35:53 h:m:s","690 C","241 ft","80 ft","118 ft","206 ft","103 ft","106 ft","6.2 mph","15.3 mph","9:38 min/mi","3:56 min/mi","145 bpm","171 bpm","68 spm","123 spm","--","--","--","--","--","--","1.24 m"
"11/06/2017","4","3.72 mi","0.93 mi","2.58 mi","46:04 h:m:s","11:31 h:m:s","32:21 h:m:s","389 C","106 ft","106 ft","106 ft","102 ft","102 ft","102 ft","4.6 mph","17.2 mph","12:59 min/mi","3:30 min/mi","139 bpm","161 bpm","60 spm","99 spm","--","--","--","--","--","--","1.05 m"
"10/30/2017","1","5.80 mi","5.80 mi","5.80 mi","50:22 h:m:s","50:22 h:m:s","50:22 h:m:s","550 C","692 ft","692 ft","692 ft","603 ft","603 ft","603 ft","6.9 mph","11.1 mph","8:41 min/mi","5:25 min/mi","--","--","78 spm","122 spm","--","--","--","--","--","--","1.17 m"
"10/23/2017","7","45.50 mi","6.50 mi","10.58 mi","6:12:59 h:m:s","53:17 h:m:s","1:23:55 h:m:s","4,241 C","2,654 ft","379 ft","2,038 ft","3,165 ft","452 ft","2,620 ft","7.0 mph","37.9 mph","8:34 min/mi","1:35 min/mi","135 bpm","161 bpm","72 spm","120 spm","--","--","--","--","--","--","1.28 m"
